contigName	contigLen	totalAvgDepth	R1Dec2019.sorted.bam	R1Dec2019.sorted.bam-var	R1Feb2020.sorted.bam	R1Feb2020.sorted.bam-var	R1Jan2020.sorted.bam	R1Jan2020.sorted.bam-var	R1July2020.sorted.bam	R1July2020.sorted.bam-var	R1Mar2020.sorted.bam	R1Mar2020.sorted.bam-var	R1Nov2019.sorted.bam	R1Nov2019.sorted.bam-var	R1Sept2020.sorted.bam	R1Sept2020.sorted.bam-var	R2Dec2019.sorted.bam	R2Dec2019.sorted.bam-var	R2Feb2020.sorted.bam	R2Feb2020.sorted.bam-var	R2Jan2020.sorted.bam	R2Jan2020.sorted.bam-var	R2July2020.sorted.bam	R2July2020.sorted.bam-var	R2Mar2020.sorted.bam	R2Mar2020.sorted.bam-var	R2Nov2019.sorted.bam	R2Nov2019.sorted.bam-var	R2Sept2020.sorted.bam	R2Sept2020.sorted.bam-var
contig_3222	6229	1901.83	90.6833	6697.37	316.983	83324	263.46	63898.8	111.637	8985.54	167.224	25517	13.3338	223.353	57.9686	10110.5	97.073	7832.3	94.9924	5388.35	277.047	71195.4	145.035	12953.4	199.827	37626.9	14.9396	174.97	51.6253	14404.5
contig_973	5725	439.236	20.5021	286.711	43.1523	448.724	66.8956	1592.88	21.569	338.671	48.2639	407.769	6.53973	18.0469	24.09	136.476	17.1855	229.978	35.5995	646.325	75.8416	1292.14	24.2655	303.554	48.2802	498.967	3.51946	18.6729	3.53184	11.2467
contig_1357	10479	140.225	0.745958	3.99583	3.70346	10.5858	1.10853	15.1212	28.4068	186.856	1.74751	3.04702	0.28783	0.492647	13.4705	38.8531	0.14377	0.698261	11.9845	53.4	1.67586	8.326	53.1002	320.774	2.66899	5.25012	2.02556	9.56882	19.155	70.6785
contig_3493	40267	31.929	0.000299125	0.000298991	0.686766	1.46796	0	0	1.25271	3.90375	3.10275	5.06416	0	0	2.00905	3.48823	0.000897375	0.000896301	0.913004	3.13044	0.000348979	0.000348778	13.3004	52.3141	4.63208	7.59439	0.00059825	0.000597732	6.03011	16.8598
contig_1233	3348	39.8499	0	0	0.848343	2.04611	0	0	8.49687	20.0498	0.798624	0.87151	0.00375235	0.00373959	3.56754	5.35845	0	0	5.82239	25.5169	0.188868	0.720025	8.96248	16.3283	2.24296	2.32787	0	0	8.91807	22.1637
contig_893	491	117.56	0.416422	0.24373	7.78886	42.9905	3.03812	11.6544	13.6158	164.161	2.08504	6.14276	0	0	13.0733	138.38	0	0	28.305	655.489	1.14956	1.68639	8.20528	60.4693	3.60704	11.5216	0	0	36.2757	1106.96
contig_586	9171	103.098	0.0675091	0.252169	0.484647	1.79962	0	0	24.443	262.902	8.40173	15.4529	0	0	8.64838	591.012	0.084913	0.412629	30.1768	451.943	0.2002	0.824402	7.35451	155.764	17.027	37.6207	0.0167387	0.0164553	6.19288	639.143
contig_1023	19592	250.245	1.31226	15.0477	42.4688	583.226	1.51553	19.3744	42.233	688.098	3.08574	8.29312	0.417395	1.52069	62.9799	1189.69	0.876916	13.775	19.0743	163.877	1.22626	7.92766	51.3438	737.862	1.57864	3.49695	1.10308	11.6635	21.0289	150.799
contig_1166	41510	56.5023	0.862452	6.98805	1.65455	4.39665	2.23044	39.9871	7.90302	25.0609	4.50435	8.53612	0.424081	1.17262	2.35005	4.70234	1.6023	26.5925	4.33049	15.1892	2.04504	10.9773	8.99442	28.6363	6.38588	10.4347	0.891441	4.19163	12.3238	35.7316
contig_2465	18610	261.463	1.97015	30.4765	6.90964	445.943	9.50265	1001.57	26.1087	7475.81	27.2889	9631.28	0.108938	0.288731	87.9252	1205.09	1.52985	21.4119	22.147	5528.19	7.86457	445.111	20.0359	4068.75	40.5095	21540.5	0.522481	3.9157	9.03965	120.127
contig_3356	8014	35.8541	0.830748	4.82525	17.0116	310.331	5.059	90.3495	0.00127162	0.00127021	0	0	0.00127162	0.00127026	0	0	0.753688	16.9096	0	0	1.26818	8.9816	3.29997	14.1481	0.151831	0.358389	0	0	7.4766	52.5758
contig_2413	3339	47.8391	2.92537	14.4988	2.26372	4.34965	5.43932	130.395	2.24083	4.14713	1.54688	3.00001	4.74098	12.3457	2.53402	3.59836	3.81311	62.5538	0.755096	1.55016	2.76952	13.424	2.58169	4.66681	3.0508	4.26656	9.86297	72.4803	3.31483	9.23334
contig_2825	6169	61.5647	2.27762	22.2284	43.3896	128.839	7.0962	111.159	0.0262502	0.0518222	0.0250872	0.0244619	0.00382123	0.00380724	0	0	0.00166141	0.00165898	0	0	1.18259	2.88797	2.11181	5.24366	0.0440272	0.0420958	0	0	5.40605	11.2604
contig_3145	2164	600.109	78.3332	1201.3	39.3972	305.137	57.5705	816.234	3.26018	4.26308	8.33217	9.94277	73.8059	394.876	3.42552	4.84471	78.1629	922.917	2.96574	7.75489	63.2234	918.738	2.09881	2.93162	8.75025	17.2028	178.2	5184.89	2.58342	6.03453
contig_640	3150	4191.24	184.927	2068.24	838.464	27970	439.871	10454.4	249.726	3665.98	409.026	6016.1	25.1077	48.4589	64.733	256.397	262.468	4195.84	219.05	2053.86	560.048	25482.7	367.851	7705.7	498.139	11651.6	40.4717	140.835	31.3527	273.095
contig_1601	24625	902.795	20.5747	597.435	15.6846	237.393	9.97557	164.312	151.748	16471.8	20.5153	290.047	19.1125	627.1	142.067	8784.44	24.4723	869.645	106.367	5743.91	10.9922	157.57	162.035	20814	25.1978	426.286	44.8045	2782.26	149.248	13189
contig_2109	18713	400.447	70.4313	1559.62	11.2085	70.0248	29.5345	535.744	0.287076	0.987979	1.89215	3.25559	87.1812	1616.65	0.339439	0.489637	81.9045	2459.31	0.385552	1.05237	30.2476	327.014	0.972041	2.58859	1.54786	3.66911	82.8022	3977.69	1.71341	6.66654
contig_663	6451	2155.04	121.537	4518.12	464.327	54007.9	332.216	34725.8	13.8968	142.172	260.223	28670	63.0192	1603.52	2.68354	12.2318	101.082	4929.68	29.1708	404.694	359.892	34330.1	43.1151	1907.79	276.964	36172.9	60.2744	2125.94	26.6432	211.789
contig_691	7638	13.75	0.00293803	0.00292984	0.489583	1.96391	0.00173611	0.00173328	0.342815	1.15861	2.64223	4.51486	0.00133547	0.00133387	0.967014	1.48888	0	0	0.213141	0.834749	0.00146902	0.00146693	3.49092	24.2519	3.33881	8.5446	0	0	2.25801	9.54161
contig_1890	4397	35.5606	0	0	0	0	0	0	1.58159	3.87489	0.0023546	0.00234966	0.00753473	0.00748001	0.510949	0.647484	0	0	0.453261	0.764644	0	0	21.6412	133.615	0.141983	0.169884	0	0	11.2218	39.0762
contig_779	4884	76.3078	0	0	1.85403	6.7094	0	0	12.9839	67.8299	7.96557	11.6403	0	0	5.86481	7.298	0	0	8.97381	40.0302	0	0	16.4318	85.5005	9.05746	27.0456	0	0	13.1764	47.8514
contig_2991	4780	119.629	1.25486	6.67557	13.5711	79.8607	5.51253	70.2227	26.0333	305.378	4.00734	24.5985	2.78164	8.73004	1.85335	5.45055	8.84773	131.569	13.4698	111.684	7.89784	91.4867	14.0024	169.413	4.54989	27.2436	9.6959	80.2458	6.15119	56.3535
contig_2175	23859	227.016	3.53178	31.0079	37.3711	303.867	1.58041	22.6254	36.3252	299.647	2.82652	5.16044	0.210722	0.335583	52.1918	503.844	1.75381	23.6099	15.1799	89.1902	1.40073	7.39243	49.0088	454.526	2.18858	3.39375	0.00202455	0.00202027	23.445	128.865
